"salt on bench" "NA"
"nayevoL" "KR"
"해강고 원딜" "KR"
"5word" "NA"
"Tij&eacute;" "EUW"
"Algorism" "KR"
"Autolycus1" "NA"
"머전가자" "KR"
"Ore wa daree" "EUW"
"SleepyzLOL" "NA"
"Calm Chill" "KR"
"힘들 했" "KR"
"WildTurtle" "NA"
"Rodov" "NA"
"Lebron Jam&eacute;s" "NA"
"azerty1" "EUW"
"CHIEF KEITH" "NA"
"Freecss" "KR"
"717 J" "NA"
"I Love Cindy Fu" "NA"
"Chubakaaa" "NA"
"LHHS" "NA"
"WorthyOfLohpally" "NA"
"Myloo" "NA"
"qweqwascxssssa" "KR"
"Flaresz" "NA"
"MSF Alphari" "KR"
"FNATIC jesiz" "EUW"
"Szeto" "NA"
"John PauI II" "EUW"
"SKT T1 Justice" "EUW"
"Karasmai is back" "NA"
"kWeixin Vinleous" "NA"
"way life goes" "NA"
"So1o" "KR"
"Ivan Pavlov" "NA"
"APK Krvavy" "KR"
"Allorim" "NA"
"Sohnar" "NA"
"Lexip" "EUW"
"deftIy" "NA"
"TynX" "EUW"
"Nikola Senpai" "EUW"
"Chimonaa1" "NA"
"Maxtrobo" "NA"
"Pennie" "NA"
"freelancer" "NA"
"Alphari" "EUW"
"whitelotus1" "NA"
"IGS JJUN" "KR"
"XuanerDD" "KR"
"bugsIife" "NA"
"Jako5000" "NA"
"SKT T1 슼카이" "KR"
"StarGurdianUpset" "EUW"
"vvvvvvvvvv" "EUW"
"never loses" "NA"
"arC Mactor" "EUW"
"jjampponglover" "NA"
"Maxilol" "EUW"
"Bbrother" "KR"
"Juiceeeeeeeeeee" "NA"
"qwdnjkqwdnkjqw" "EUW"
"yhxgwxbc" "KR"
"Rich Homie Jayms" "NA"
"Klajbajk" "EUW"
"Vitals" "NA"
"Insp&iacute;reD" "EUW"
"HKA Riris" "KR"
"Johnsun" "NA"
"R0YAL Wh1t3zZ" "EUW"
"jeckati mehed bg" "EUW"
"PuncHh" "KR"
"악시 뒷바라지" "KR"
"5fire" "NA"
"센터센터" "KR"
"Mikyx" "EUW"
"IlllIIIlIIlllIIl" "EUW"
"L1sure" "KR"
"이기자 할수있다" "KR"
"종학잇" "KR"
"Longzhu 비디디" "KR"
"Wendelbo" "EUW"
"Gillette" "NA"
"THE FF MACHINE" "EUW"
"MlST" "NA"
"Milicaaa" "EUW"
"Odoamne" "EUW"
"Longzhu G0rillA" "KR"
"KIYF XDSMILEYs6" "EUW"
"PunOko" "NA"
"조합차이" "KR"
"yeedam" "NA"
"APK Nova" "KR"
"구름 잔뜩 낀 날" "KR"
"Yassuo" "NA"
"19981015" "NA"
"나유준" "KR"
"styllEE" "EUW"
"WAR Fl4mer" "EUW"
"Shut Eye" "KR"
"blaberfish2" "NA"
"dun is washed up" "NA"
"miss you wu" "KR"
"MrPresidentObama" "NA"
"ScarletRedHands" "EUW"
"Scarfaceee" "EUW"
